year,month,day,length,title,file,Topic,Count,topic_1,topic_2,topic_3,topic_4,Topic_Label,length_type_v1,date
2023,1,5,15,Israeli forces kill 16-year-old Palestinian in Nablus,2023-01-05_3808.txt,0,359,bank,west,israeli,palestinian,"bank, west, israeli, palestinian",Short (<300),2023-01-01
2023,10,18,17,Israel-Gaza: What international law says about the deadly hospital strike,2023-10-18_3026.txt,3,130,hospital,patients,medical,hospitals,"hospital, patients, medical, hospitals",Short (<300),2023-10-01
2023,10,18,17,‘We were in hell’: Day after deadly attack on Gaza’s al-Ahli Arab Hospital,2023-10-18_3028.txt,3,130,hospital,patients,medical,hospitals,"hospital, patients, medical, hospitals",Short (<300),2023-10-01
2023,10,18,17,"Where in Gaza is al-Ahli Arab Hospital, the site hit amid war with Israel?",2023-10-18_3031.txt,3,130,hospital,patients,medical,hospitals,"hospital, patients, medical, hospitals",Short (<300),2023-10-01
2023,10,21,17,Hamas says Israel refused to receive 2 hostages; Israel calls it propaganda,2023-10-21_2938.txt,1,148,captives,hamas,release,hostages,"captives, hamas, release, hostages",Short (<300),2023-10-01
2024,2,20,17,"Kites fill Rafah’s skies, a symbol of hope amid Israel’s war on Gaza",2024-02-20_1011.txt,2,136,my,her,she,we,"my, her, she, we",Short (<300),2024-02-01
2023,10,10,17,Families of Hamas captives worry over loved ones as Israel pummels Gaza,2023-10-10_3250.txt,1,148,captives,hamas,release,hostages,"captives, hamas, release, hostages",Short (<300),2023-10-01
2023,10,10,17,"What we know: The number of foreigners killed, missing, abducted in Israel",2023-10-10_3259.txt,1,148,captives,hamas,release,hostages,"captives, hamas, release, hostages",Short (<300),2023-10-01
2023,10,10,17,‘Why bomb schools?’ Gaza families have no safe space amid Israeli attacks,2023-10-10_3241.txt,2,136,my,her,she,we,"my, her, she, we",Short (<300),2023-10-01
2023,10,10,17,"The bombs raining down on Gaza from Israel are beyond scary, beyond crazy",2023-10-10_3246.txt,2,136,my,her,she,we,"my, her, she, we",Short (<300),2023-10-01
